Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,TP,FN,TN,FP,UP,UN
STM,0.30000000000000004,0.1,95.44392523364486,93.02482309333932,91.6759388038943,89.91855602025095,93.68709972552608,4085,195,8282,621,263,934
STM,0.30000000000000004,0.2,95.25922466137318,93.0783037917882,91.7663421418637,89.78648470173894,93.72776252922638,4079,203,8297,617,261,923
STM,0.30000000000000004,0.30000000000000004,95.16242112643141,93.12703217849536,91.78025034770515,89.63240149680828,93.76842533292671,4072,207,8306,613,264,918
STM,0.30000000000000004,0.4,94.9520916101893,93.18385650224215,91.78720445062586,89.43429451904028,93.8192538375521,4063,216,8312,608,264,917
STM,0.30000000000000004,0.5,94.76390836839644,93.21976913594082,91.80111265646732,89.23618754127229,93.84975094032734,4054,224,8318,605,265,914
STM,0.30000000000000004,0.6000000000000001,94.48984356759281,93.23476702508961,91.87065368567455,89.08210433634163,93.85991664125241,4047,236,8324,604,260,909
STM,0.30000000000000004,0.7000000000000001,94.28371441903873,93.24672415724045,91.89847009735745,88.95003301782964,93.8700823421775,4041,245,8326,603,257,908
STM,0.30000000000000004,0.8,94.00652985074626,93.28408327736736,91.9471488178025,88.72991415364297,93.90057944495273,4031,257,8334,600,255,903
STM,0.30000000000000004,0.9,93.03355079217148,93.31096196868009,92.01668984700973,87.89346246973365,93.92091084680288,3993,299,8342,598,251,897
STM,0.7000000000000001,0.1,95.44072948328267,93.0457251994158,91.64116828929069,89.85252036099493,93.70743112737622,4082,195,8282,619,266,936
STM,0.7000000000000001,0.2,95.2559009114279,93.0991921005386,91.7315716272601,89.72044904248294,93.74809393107655,4076,203,8297,615,264,925
STM,0.7000000000000001,0.30000000000000004,95.15902712815716,93.1479197039363,91.74547983310153,89.56636583755227,93.78875673477687,4069,207,8306,611,267,920
STM,0.7000000000000001,0.4,94.94855004677268,93.20475442924423,91.75243393602224,89.36825885978429,93.83958523940225,4060,216,8312,606,267,919
STM,0.7000000000000001,0.5,94.76023391812866,93.24066808653738,91.7663421418637,89.17015188201628,93.8700823421775,4051,224,8318,603,268,916
STM,0.7000000000000001,0.6000000000000001,94.48726932959589,93.25565762939728,91.84283727399165,89.0380805635043,93.88024804310258,4045,236,8324,602,262,911
STM,0.7000000000000001,0.7000000000000001,94.28104575163398,93.26761510025764,91.87065368567455,88.9060092449923,93.89041374402764,4039,245,8326,601,259,910
STM,0.7000000000000001,0.8,94.00373308446103,93.30497089117779,91.91933240611961,88.68589038080563,93.92091084680288,4029,257,8334,598,257,905
STM,0.7000000000000001,0.9,93.03030303030303,93.33184157529648,91.98887343532685,87.84943869689631,93.94124224865304,3991,299,8342,596,253,899
LEV,0.2,0.1,92.38317757009345,97.11028332768934,93.40976645435244,90.19160583941606,97.32860273400814,1977,163,8603,256,52,724
LEV,0.2,0.2,92.09171736078615,97.1370604147881,93.49469214437367,89.78102189781022,97.3494730251487,1968,169,8618,254,55,711
LEV,0.2,0.30000000000000004,91.41651031894934,97.17342342342342,93.52016985138005,88.91423357664233,97.38077846185953,1949,183,8629,251,60,703
LEV,0.2,0.4,90.69985908877408,97.241301655219,93.5031847133758,88.09306569343066,97.44338933528122,1931,198,8636,245,63,702
LEV,0.2,0.5,89.90610328638498,97.27661489984246,93.55414012738854,87.36313868613139,97.47469477199206,1915,215,8644,242,62,697
LEV,0.2,0.6000000000000001,88.7740723344293,97.32283464566929,93.5796178343949,86.22262773722628,97.51643535427318,1890,239,8652,238,63,693
LEV,0.2,0.7000000000000001,87.20112517580873,97.380845323741,93.66454352441613,84.85401459854015,97.5686110821246,1860,273,8663,233,59,687
LEV,0.2,0.8,85.85480093676814,97.42812219227314,93.74946921443737,83.62226277372264,97.61035166440571,1833,302,8675,229,57,679
LEV,0.2,0.9,84.03558052434457,97.47446402514312,93.8004246284501,81.88868613138686,97.65209224668683,1795,341,8684,225,56,674
LEV,0.6000000000000001,0.1,92.4044734389562,97.11028332768934,93.46072186836518,90.46532846715328,97.32860273400814,1983,163,8603,256,46,724
LEV,0.6000000000000001,0.2,92.1138590760616,97.1370604147881,93.5456475583864,90.05474452554745,97.3494730251487,1974,169,8618,254,49,711
LEV,0.6000000000000001,0.30000000000000004,91.44059869036482,97.17342342342342,93.57112526539278,89.18795620437956,97.38077846185953,1955,183,8629,251,54,703
LEV,0.6000000000000001,0.4,90.72599531615924,97.241301655219,93.55414012738854,88.36678832116789,97.44338933528122,1937,198,8636,245,57,702
LEV,0.6000000000000001,0.5,89.93916705662143,97.27661489984246,93.6135881104034,87.68248175182481,97.47469477199206,1922,215,8644,242,55,697
LEV,0.6000000000000001,0.6000000000000001,88.80037488284911,97.32283464566929,93.62208067940551,86.4507299270073,97.51643535427318,1895,239,8652,238,58,693
LEV,0.6000000000000001,0.7000000000000001,87.2250818905007,97.380845323741,93.69851380042464,85.03649635036497,97.5686110821246,1864,273,8663,233,55,687
LEV,0.6000000000000001,0.8,85.86142322097379,97.42812219227314,93.7579617834395,83.66788321167883,97.61035166440571,1834,302,8675,229,56,679
LEV,0.6000000000000001,0.9,84.05051449953227,97.47446402514312,93.81740976645435,81.97992700729927,97.65209224668683,1797,341,8684,225,54,674
STM,0.4,0.1,95.44392523364486,93.0099054479964,91.54381084840055,89.91855602025095,93.68709972552608,4085,195,8263,621,263,953
STM,0.4,0.2,95.25922466137318,93.06351883080383,91.63421418636996,89.78648470173894,93.72776252922638,4079,203,8278,617,261,942
STM,0.4,0.30000000000000004,95.16242112643141,93.11235955056179,91.6481223922114,89.63240149680828,93.76842533292671,4072,207,8287,613,264,937
STM,0.4,0.4,94.97428705002338,93.16930681945848,91.6481223922114,89.43429451904028,93.8192538375521,4063,215,8293,608,265,936
STM,0.4,0.5,94.80823199251637,93.20530098831986,91.65507649513212,89.23618754127229,93.84975094032734,4054,222,8299,605,267,933
STM,0.4,0.6000000000000001,94.48984356759281,93.22109988776656,91.74547983310153,89.08210433634163,93.85991664125241,4047,236,8306,604,260,927
STM,0.4,0.7000000000000001,94.28371441903873,93.23308270676691,91.77329624478442,88.95003301782964,93.8700823421775,4041,245,8308,603,257,926
STM,0.4,0.8,94.00652985074626,93.27052489905788,91.82197496522949,88.72991415364297,93.90057944495273,4031,257,8316,600,255,921
STM,0.4,0.9,93.03355079217148,93.29746693566466,91.89151599443672,87.89346246973365,93.92091084680288,3993,299,8324,598,251,915
STM,0.8,0.1,95.44072948328267,93.0457251994158,91.64116828929069,89.85252036099493,93.70743112737622,4082,195,8282,619,266,936
STM,0.8,0.2,95.2559009114279,93.0991921005386,91.7315716272601,89.72044904248294,93.74809393107655,4076,203,8297,615,264,925
STM,0.8,0.30000000000000004,95.15902712815716,93.1479197039363,91.74547983310153,89.56636583755227,93.78875673477687,4069,207,8306,611,267,920
STM,0.8,0.4,94.94855004677268,93.20475442924423,91.75243393602224,89.36825885978429,93.83958523940225,4060,216,8312,606,267,919
STM,0.8,0.5,94.76023391812866,93.24066808653738,91.7663421418637,89.17015188201628,93.8700823421775,4051,224,8318,603,268,916
STM,0.8,0.6000000000000001,94.48726932959589,93.25565762939728,91.84283727399165,89.0380805635043,93.88024804310258,4045,236,8324,602,262,911
STM,0.8,0.7000000000000001,94.28104575163398,93.26761510025764,91.87065368567455,88.9060092449923,93.89041374402764,4039,245,8326,601,259,910
STM,0.8,0.8,94.00373308446103,93.30497089117779,91.91933240611961,88.68589038080563,93.92091084680288,4029,257,8334,598,257,905
STM,0.8,0.9,93.03030303030303,93.33184157529648,91.98887343532685,87.84943869689631,93.94124224865304,3991,299,8342,596,253,899
STM,0.5,0.1,95.44392523364486,93.0099054479964,91.54381084840055,89.91855602025095,93.68709972552608,4085,195,8263,621,263,953
STM,0.5,0.2,95.25922466137318,93.06351883080383,91.63421418636996,89.78648470173894,93.72776252922638,4079,203,8278,617,261,942
STM,0.5,0.30000000000000004,95.16242112643141,93.11235955056179,91.6481223922114,89.63240149680828,93.76842533292671,4072,207,8287,613,264,937
STM,0.5,0.4,94.97428705002338,93.16930681945848,91.6481223922114,89.43429451904028,93.8192538375521,4063,215,8293,608,265,936
STM,0.5,0.5,94.80823199251637,93.20530098831986,91.65507649513212,89.23618754127229,93.84975094032734,4054,222,8299,605,267,933
