,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
0,AMI,0.1,0.1,84.85263879369431,98.29601377952756,92.25121074832057
1,AMI,0.1,0.2,84.2357779300891,98.33507403084106,92.36056866114669
2,AMI,0.1,0.30000000000000004,83.61891706648389,98.40422267231327,92.44388897568089
3,AMI,0.1,0.4,83.1275720164609,98.43587069864442,92.49075665260636
4,AMI,0.1,0.5,82.68041237113401,98.4548408854007,92.50637921158152
5,AMI,0.1,0.6,81.61865569272977,98.48614856582496,92.55845440816539
6,AMI,0.1,0.7000000000000001,80.74023303632625,98.49283176081363,92.5949070457741
7,AMI,0.1,0.8,79.83539094650206,98.50645773397808,92.66781232099152
8,AMI,0.1,0.9,78.75257025359835,98.53813688910637,92.73551007655054
9,AMI,0.2,0.1,84.85263879369431,98.29601377952756,92.25121074832057
10,AMI,0.2,0.2,84.2357779300891,98.33507403084106,92.36056866114669
11,AMI,0.2,0.30000000000000004,83.61891706648389,98.40422267231327,92.44388897568089
12,AMI,0.2,0.4,83.1275720164609,98.43587069864442,92.49075665260636
13,AMI,0.2,0.5,82.68041237113401,98.4548408854007,92.50637921158152
14,AMI,0.2,0.6,81.61865569272977,98.48614856582496,92.55845440816539
15,AMI,0.2,0.7000000000000001,80.74023303632625,98.49283176081363,92.5949070457741
16,AMI,0.2,0.8,79.83539094650206,98.50645773397808,92.66781232099152
17,AMI,0.2,0.9,78.75257025359835,98.53813688910637,92.73551007655054
18,AMI,0.30000000000000004,0.1,84.85263879369431,98.29601377952756,92.25121074832057
19,AMI,0.30000000000000004,0.2,84.2357779300891,98.33507403084106,92.36056866114669
20,AMI,0.30000000000000004,0.30000000000000004,83.61891706648389,98.40422267231327,92.44388897568089
21,AMI,0.30000000000000004,0.4,83.1275720164609,98.43587069864442,92.49075665260636
22,AMI,0.30000000000000004,0.5,82.68041237113401,98.4548408854007,92.50637921158152
23,AMI,0.30000000000000004,0.6,81.61865569272977,98.48614856582496,92.55845440816539
24,AMI,0.30000000000000004,0.7000000000000001,80.74023303632625,98.49283176081363,92.5949070457741
25,AMI,0.30000000000000004,0.8,79.83539094650206,98.50645773397808,92.66781232099152
26,AMI,0.30000000000000004,0.9,78.75257025359835,98.53813688910637,92.73551007655054
