,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,catalogued_R,catalogued_S,catalogued_RS
0,STM,0.7000000000000001,0.1,95.44072948328267,93.0457251994158,91.64116828929069,89.85252036099493,93.70743112737622,116,8,124
1,STM,0.7000000000000001,0.2,95.2559009114279,93.0991921005386,91.7315716272601,89.72044904248294,93.74809393107655,116,8,124
2,STM,0.7000000000000001,0.30000000000000004,95.15902712815716,93.1479197039363,91.74547983310153,89.56636583755227,93.78875673477687,116,8,124
3,STM,0.7000000000000001,0.4,94.94855004677268,93.20475442924423,91.75243393602224,89.36825885978429,93.83958523940225,116,8,124
4,STM,0.7000000000000001,0.5,94.76023391812866,93.24066808653738,91.7663421418637,89.17015188201628,93.8700823421775,116,8,124
5,STM,0.7000000000000001,0.6000000000000001,94.48726932959589,93.25565762939728,91.84283727399165,89.0380805635043,93.88024804310258,116,8,124
6,STM,0.7000000000000001,0.7000000000000001,94.28104575163398,93.26761510025764,91.87065368567455,88.9060092449923,93.89041374402764,116,8,124
7,STM,0.7000000000000001,0.8,94.00373308446103,93.30497089117779,91.91933240611961,88.68589038080563,93.92091084680288,116,8,124
8,STM,0.7000000000000001,0.9,93.03030303030303,93.33184157529648,91.98887343532685,87.84943869689631,93.94124224865304,116,8,124
9,STM,0.30000000000000004,0.1,95.44392523364486,93.02482309333932,91.6759388038943,89.91855602025095,93.68709972552608,117,8,125
10,STM,0.30000000000000004,0.2,95.25922466137318,93.0783037917882,91.7663421418637,89.78648470173894,93.72776252922638,117,8,125
11,STM,0.30000000000000004,0.30000000000000004,95.16242112643141,93.12703217849536,91.78025034770515,89.63240149680828,93.76842533292671,117,8,125
12,STM,0.30000000000000004,0.4,94.9520916101893,93.18385650224215,91.78720445062586,89.43429451904028,93.8192538375521,117,8,125
13,STM,0.30000000000000004,0.5,94.76390836839644,93.21976913594082,91.80111265646732,89.23618754127229,93.84975094032734,117,8,125
14,STM,0.30000000000000004,0.6000000000000001,94.48984356759281,93.23476702508961,91.87065368567455,89.08210433634163,93.85991664125241,117,8,125
15,STM,0.30000000000000004,0.7000000000000001,94.28371441903873,93.24672415724045,91.89847009735745,88.95003301782964,93.8700823421775,117,8,125
16,STM,0.30000000000000004,0.8,94.00652985074626,93.28408327736736,91.9471488178025,88.72991415364297,93.90057944495273,117,8,125
17,STM,0.30000000000000004,0.9,93.03355079217148,93.31096196868009,92.01668984700973,87.89346246973365,93.92091084680288,117,8,125
18,LEV,0.1,0.1,90.74794638996974,97.0059880239521,93.31185764687837,87.45833333333334,97.22692235382591,13,21,34
19,LEV,0.1,0.2,90.37711313394018,97.05107417916497,93.38088663905508,86.875,97.26452340665539,13,21,34
20,LEV,0.1,0.30000000000000004,89.61772371850564,97.08413485876278,93.41156619113362,85.95833333333334,97.29272419627749,13,21,34
21,LEV,0.1,0.4,88.94691035683203,97.14546006680838,93.39622641509435,85.16666666666667,97.34912577552171,13,21,34
22,LEV,0.1,0.5,88.21739130434783,97.16742539200808,93.45758551925142,84.54166666666667,97.36792630193646,13,21,34
23,LEV,0.1,0.6000000000000001,87.07158351409979,97.23907766990291,93.5189446234085,83.625,97.43372814438804,13,21,34
24,LEV,0.1,0.7000000000000001,85.6463467358409,97.28172999191592,93.64166283172266,82.54166666666667,97.47132919721753,13,21,34
25,LEV,0.1,0.8,84.38308886971527,97.32431340872375,93.7413713759779,81.5,97.508930250047,13,21,34
26,LEV,0.1,0.9,82.67411865864145,97.38647830474268,93.84874980825279,80.125,97.56533182929122,13,21,34
27,STM,0.8,0.1,95.44072948328267,93.0457251994158,91.64116828929069,89.85252036099493,93.70743112737622,116,8,124
28,STM,0.8,0.2,95.2559009114279,93.0991921005386,91.7315716272601,89.72044904248294,93.74809393107655,116,8,124
29,STM,0.8,0.30000000000000004,95.15902712815716,93.1479197039363,91.74547983310153,89.56636583755227,93.78875673477687,116,8,124
30,STM,0.8,0.4,94.94855004677268,93.20475442924423,91.75243393602224,89.36825885978429,93.83958523940225,116,8,124
31,STM,0.8,0.5,94.76023391812866,93.24066808653738,91.7663421418637,89.17015188201628,93.8700823421775,116,8,124
32,STM,0.8,0.6000000000000001,94.48726932959589,93.25565762939728,91.84283727399165,89.0380805635043,93.88024804310258,116,8,124
33,STM,0.8,0.7000000000000001,94.28104575163398,93.26761510025764,91.87065368567455,88.9060092449923,93.89041374402764,116,8,124
34,STM,0.8,0.8,94.00373308446103,93.30497089117779,91.91933240611961,88.68589038080563,93.92091084680288,116,8,124
35,STM,0.8,0.9,93.03030303030303,93.33184157529648,91.98887343532685,87.84943869689631,93.94124224865304,116,8,124
36,STM,0.4,0.1,95.44392523364486,93.0099054479964,91.54381084840055,89.91855602025095,93.68709972552608,117,7,124
37,STM,0.4,0.2,95.25922466137318,93.06351883080383,91.63421418636996,89.78648470173894,93.72776252922638,117,7,124
38,STM,0.4,0.30000000000000004,95.16242112643141,93.11235955056179,91.6481223922114,89.63240149680828,93.76842533292671,117,7,124
39,STM,0.4,0.4,94.97428705002338,93.16930681945848,91.6481223922114,89.43429451904028,93.8192538375521,117,7,124
40,STM,0.4,0.5,94.80823199251637,93.20530098831986,91.65507649513212,89.23618754127229,93.84975094032734,117,7,124
41,STM,0.4,0.6000000000000001,94.48984356759281,93.22109988776656,91.74547983310153,89.08210433634163,93.85991664125241,117,7,124
42,STM,0.4,0.7000000000000001,94.28371441903873,93.23308270676691,91.77329624478442,88.95003301782964,93.8700823421775,117,7,124
43,STM,0.4,0.8,94.00652985074626,93.27052489905788,91.82197496522949,88.72991415364297,93.90057944495273,117,7,124
44,STM,0.4,0.9,93.03355079217148,93.29746693566466,91.89151599443672,87.89346246973365,93.92091084680288,117,7,124
45,STM,0.9,0.1,95.42038515735088,93.24476469263679,91.3769123783032,89.43429451904028,93.90057944495273,112,8,120
