,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
0,AMI,0.05,0.9,0.8744855967078189,0.9827564971055549,0.9210909848011659,0.8517034068136272,0.9841941857183178
1,AMI,0.05,0.95,0.8741403026134801,0.9829986448195146,0.9206745783885072,0.8490313961255845,0.984419983065199
2,AMI,0.1,0.9,0.8544474393530997,0.9836705715299965,0.9570060378929836,0.8470273881095525,0.984419983065199
3,AMI,0.1,0.95,0.8649386084583902,0.9833303134625838,0.9381115969185926,0.8470273881095525,0.984419983065199
4,AMI,0.15,0.9,0.8533783783783784,0.9844486333647502,0.9606495940037476,0.843687374749499,0.9850973751058425
5,AMI,0.15,0.95,0.8539553752535497,0.9843694493783304,0.9561211742660837,0.843687374749499,0.9850973751058425
6,AMI,0.2,0.9,0.8533783783783784,0.984460533286244,0.9613262544243182,0.843687374749499,0.9850973751058425
7,AMI,0.2,0.95,0.8533783783783784,0.9844486333647502,0.9606495940037476,0.843687374749499,0.9850973751058425
8,AMI,0.25,0.9,0.8533783783783784,0.9844979448032883,0.9634603372891942,0.843687374749499,0.9850973751058425
9,AMI,0.25,0.95,0.8533783783783784,0.984460533286244,0.9613262544243182,0.843687374749499,0.9850973751058425
10,BDQ,0.05,0.9,0.5220588235294118,0.990295835688713,0.9575984322109389,0.4930555555555556,0.9907056487998557
11,BDQ,0.05,0.95,0.49612403100775193,0.9908559577677225,0.9564404061998931,0.4444444444444444,0.9912470673163689
12,BDQ,0.1,0.9,0.35294117647058826,0.9950098860747576,0.9551933012649207,0.25,0.9952174697707995
13,BDQ,0.1,0.95,0.34,0.9951972878802147,0.9548369855692144,0.2361111111111111,0.9953979426096372
14,BDQ,0.15,0.9,0.33663366336633666,0.9952412055612578,0.9636557990379476,0.2361111111111111,0.9953979426096372
15,BDQ,0.15,0.95,0.33663366336633666,0.9952135147817925,0.9581329057544985,0.2361111111111111,0.9953979426096372
16,BDQ,0.2,0.9,0.27956989247311825,0.996459517376316,0.9643684304293604,0.18055555555555555,0.9965710160620826
17,BDQ,0.2,0.95,0.10666666666666667,0.9999062529295959,0.9568858008195261,0.05555555555555555,0.9999097635805811
18,BDQ,0.25,0.9,0.10666666666666667,0.9999066990110095,0.9614288259397826,0.05555555555555555,0.9999097635805811
19,BDQ,0.25,0.95,0.0,1.0,0.9586673792980581,0.0,1.0
20,CAP,0.05,0.9,0.8402173913043478,0.9760509816013979,0.922950251343387,0.8085774058577406,0.9779814779814779
21,CAP,0.05,0.95,0.8398692810457516,0.9762516706075871,0.9226035708094991,0.8064853556485355,0.9781704781704782
22,CAP,0.1,0.9,0.8104575163398693,0.9771468144044322,0.9556248916623331,0.7782426778242678,0.9781704781704782
23,CAP,0.1,0.95,0.8104575163398693,0.9771468144044322,0.9556248916623331,0.7782426778242678,0.9781704781704782
24,CAP,0.15,0.9,0.8104575163398693,0.9771468144044322,0.9556248916623331,0.7782426778242678,0.9781704781704782
25,CAP,0.15,0.95,0.8100436681222707,0.9772434946076977,0.9553648812619171,0.7761506276150628,0.9782649782649783
26,CAP,0.2,0.9,0.8091603053435115,0.977391133392313,0.9611717802045415,0.7761506276150628,0.9782649782649783
27,CAP,0.2,0.95,0.8091603053435115,0.9773018849304254,0.9577049748656613,0.7761506276150628,0.9782649782649783
28,CAP,0.25,0.9,0.8082788671023965,0.9774266365688488,0.9626451724735656,0.7761506276150628,0.9782649782649783
29,CAP,0.25,0.95,0.8083242059145673,0.977391133392313,0.9608250996706534,0.7719665271966527,0.9782649782649783
30,CIP,0.05,0.9,0.0,1.0,0.0034129692832764505,0.0,1.0
31,CIP,0.05,0.95,0.0,1.0,0.0034129692832764505,0.0,1.0
32,CIP,0.1,0.9,0.0,1.0,0.0034129692832764505,0.0,1.0
33,CIP,0.1,0.95,0.0,1.0,0.0034129692832764505,0.0,1.0
34,CIP,0.15,0.9,0.0,1.0,0.0034129692832764505,0.0,1.0
35,CIP,0.15,0.95,0.0,1.0,0.0034129692832764505,0.0,1.0
36,CIP,0.2,0.9,0.7777777777777778,0.9512195121951219,0.05688282138794084,0.06086956521739131,0.9973821989528796
37,CIP,0.2,0.95,0.7777777777777778,0.9512195121951219,0.05688282138794084,0.06086956521739131,0.9973821989528796
38,CIP,0.25,0.9,0.7777777777777778,0.9512195121951219,0.05688282138794084,0.06086956521739131,0.9973821989528796
39,CIP,0.25,0.95,0.0,1.0,0.04664391353811149,0.0,1.0
40,CFZ,0.05,0.9,0.1945080091533181,0.9869998311666385,0.9638261142498431,0.188470066518847,0.9874725453510128
41,CFZ,0.05,0.95,0.15587529976019185,0.9919402731823195,0.9576271186440678,0.14412416851441243,0.9922720247295209
42,CFZ,0.1,0.9,0.08311688311688312,0.9948462318350794,0.9589610797237916,0.07095343680709534,0.9950378264052713
43,CFZ,0.1,0.95,0.04336043360433604,0.9979607443283202,0.9524482109227872,0.03547671840354767,0.9980476694053526
44,CFZ,0.15,0.9,0.04336043360433604,0.9979731441601216,0.9580979284369114,0.03547671840354767,0.9980476694053526
45,CFZ,0.15,0.95,0.03814713896457766,0.9980544747081712,0.9564500941619586,0.031042128603104215,0.998129016513463
46,CFZ,0.2,0.9,0.03814713896457766,0.9980595629798363,0.9588826114249843,0.031042128603104215,0.998129016513463
47,CFZ,0.2,0.95,0.013966480446927373,0.9999153833135894,0.9554300062774639,0.011086474501108648,0.9999186528918897
48,CFZ,0.25,0.9,0.013966480446927373,0.9999154762910997,0.9564500941619586,0.011086474501108648,0.9999186528918897
49,CFZ,0.25,0.95,0.008426966292134831,0.9999154762910997,0.956293157564344,0.0066518847006651885,0.9999186528918897
50,DLM,0.05,0.9,0.34065934065934067,0.9992123503465659,0.6157008988334289,0.2108843537414966,0.9995150809814761
51,DLM,0.05,0.95,0.3258426966292135,0.9995272612669398,0.6153184165232358,0.19727891156462585,0.9997090485888857
52,DLM,0.1,0.9,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
53,DLM,0.1,0.95,0.22077922077922077,0.9995272612669398,0.6141709695926564,0.11564625850340136,0.9997090485888857
54,DLM,0.15,0.9,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
55,DLM,0.15,0.95,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
56,DLM,0.2,0.9,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
57,DLM,0.2,0.95,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
58,DLM,0.25,0.9,0.21518987341772153,0.9995318352059925,0.6202906865557468,0.11564625850340136,0.9997090485888857
59,DLM,0.25,0.95,0.1506849315068493,0.9995318352059925,0.6197169630904571,0.07482993197278912,0.9997090485888857
60,EMB,0.05,0.9,0.9573764468124196,0.8859561968119574,0.8286335313722649,0.9431674208144797,0.9089026915113871
61,EMB,0.05,0.95,0.9572271386430679,0.8866623292127521,0.8253586436748297,0.9397285067873303,0.9098343685300208
62,EMB,0.1,0.9,0.9564564564564565,0.8902734510211145,0.8242283726996088,0.9223529411764706,0.9124913733609386
63,EMB,0.1,0.95,0.9561436672967863,0.8932127483803644,0.8198521953340095,0.9154751131221719,0.9152518978605935
64,EMB,0.15,0.9,0.9555639954424611,0.8966765808871072,0.8249529053760325,0.9107692307692308,0.917287784679089
