,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2
0,BDQ,0.05,0.9,0.5412844036697247,0.9906043676993398,0.9602158331319964,0.4957983193277311,0.9909741421369328
1,BDQ,0.1,0.9,0.3902439024390244,0.994667343829355,0.9580413948618829,0.2689075630252101,0.9948772158074484
2,BDQ,0.15,0.9,0.3333333333333333,0.9959616355376073,0.9632761536603044,0.21008403361344538,0.9960969263294844
3,BDQ,0.2,0.9,0.10714285714285714,0.9999158320006734,0.9613433196424257,0.05042016806722689,0.9999186859651976
4,BDQ,0.25,0.9,0.09836065573770492,0.999916072177927,0.9644841749214786,0.05042016806722689,0.9999186859651976
5,CFZ,0.05,0.9,0.1724137931034483,0.9900089472114524,0.9588655404477407,0.16351118760757316,0.9904155639796867
6,CFZ,0.1,0.9,0.11089494163424124,0.991108476585655,0.9620931190770499,0.0981067125645439,0.9914169229668837
7,CFZ,0.15,0.9,0.07302231237322515,0.9961344038061255,0.957629446504601,0.06196213425129088,0.996280666618983
8,CFZ,0.2,0.9,0.06882591093117409,0.9962222222222222,0.9609943689053702,0.058519793459552494,0.9963521922609255
9,CFZ,0.25,0.9,0.023206751054852322,0.9998517859789536,0.9592088998763906,0.0189328743545611,0.9998569487161147
10,AMI,0.05,0.9,0.8485263879369431,0.9829601377952756,0.9225121074832058,0.8258839226150767,0.9843538183461364
11,AMI,0.1,0.9,0.8387978142076503,0.9836479499819647,0.9424569077748268,0.819212808539026,0.9846362403976503
12,AMI,0.15,0.9,0.8273527420446851,0.9847652790079716,0.9588085195021612,0.8152101400933957,0.9854270221418888
13,AMI,0.2,0.9,0.8273527420446851,0.9848029687223891,0.9609956777586836,0.8152101400933957,0.9854270221418888
14,AMI,0.25,0.9,0.8273527420446851,0.984849374596277,0.9637035879810446,0.8152101400933957,0.9854270221418888
15,CAP,0.05,0.9,0.8441410693970421,0.9751574127074986,0.9200880467030338,0.811816192560175,0.9772417409543787
16,CAP,0.1,0.9,0.8139269406392694,0.9762480756542775,0.9541582926595846,0.7800875273522976,0.9773466177241741
17,CAP,0.15,0.9,0.8139269406392694,0.9762480756542775,0.9541582926595846,0.7800875273522976,0.9773466177241741
18,CAP,0.2,0.9,0.8125714285714286,0.9765181301878549,0.9599961718824768,0.7778993435448578,0.9774514944939696
19,CAP,0.25,0.9,0.8116438356164384,0.9765590928914086,0.9616231218298402,0.7778993435448578,0.9774514944939696
20,DLM,0.05,0.9,0.17258883248730963,0.9989964037802125,0.9914348641814177,0.17258883248730963,0.9990051401094346
21,DLM,0.1,0.9,0.12365591397849462,0.9994979499623462,0.9900481279060283,0.116751269035533,0.9995025700547173
22,DLM,0.15,0.9,0.11413043478260869,0.999748911951791,0.9896402642956196,0.1065989847715736,0.9997512850273587
23,DLM,0.2,0.9,0.11413043478260869,0.999748911951791,0.9896402642956196,0.1065989847715736,0.9997512850273587
24,DLM,0.25,0.9,0.11413043478260869,0.9997491638795987,0.9906191369606003,0.1065989847715736,0.9997512850273587
25,EMB,0.05,0.9,0.960536398467433,0.8814379536812997,0.837560903587775,0.9447899001319012,0.9039148399747882
26,EMB,0.1,0.9,0.9601470303733798,0.8858451434497062,0.8360549239627935,0.9351799510081025,0.907486518663772
27,EMB,0.15,0.9,0.959079283887468,0.8946845289541919,0.8333973128598848,0.9185980780101752,0.9146648924994748
28,EMB,0.2,0.9,0.9568522703924389,0.9039405656688535,0.8233869777055958,0.8775202562653099,0.9225786119476154
29,EMB,0.25,0.9,0.9523222359227291,0.9145557363080021,0.906068212018308,0.8731863576408517,0.922753694236291
30,ETH,0.05,0.9,0.9130277878022375,0.8627999278369114,0.9140501319261214,0.8793882516510254,0.8761703166978752
31,ETH,0.1,0.9,0.902826171118854,0.8735094072961752,0.9171503957783641,0.8105665623913799,0.8834161035577628
32,ETH,0.15,0.9,0.8921527486361729,0.912088913182108,0.8812664907651715,0.7389641988182134,0.9214361312382968
33,ETH,0.2,0.9,0.875,0.928681607839579,0.8800131926121372,0.7055961070559611,0.9360091182935765
34,ETH,0.25,0.9,0.8736933797909407,0.9305177111716622,0.8777044854881266,0.697254084115398,0.9377187983391679
35,INH,0.05,0.9,0.9471646549760875,0.9840362633031139,0.9390326019864205,0.937485911789015,0.9854923207809072
36,INH,0.1,0.9,0.9452962477848833,0.9859383192716527,0.9527523707984962,0.9218573897362687,0.9867908476245915
37,INH,0.15,0.9,0.9452023121387283,0.9862507111701119,0.955810560574603,0.9214817041100007,0.9870147315631577
38,INH,0.2,0.9,0.9448910187045911,0.9871309613928841,0.9560069580831603,0.9185513562251109,0.9878207137419962
39,INH,0.25,0.9,0.9443798899992254,0.9882924987017891,0.956511980248022,0.9159966939664889,0.9888953566471141
40,KAN,0.05,0.9,0.8326577880718008,0.9256366500393804,0.9539421887301766,0.8288184438040346,0.9293949024739827
41,KAN,0.1,0.9,0.8023323615160349,0.9710154409840356,0.9559667079068721,0.7930835734870317,0.9723935938181592
42,KAN,0.15,0.9,0.8016336056009334,0.9712366292721106,0.9586098301653357,0.7919308357348703,0.9725182277061133
43,KAN,0.2,0.9,0.7995283018867925,0.9738301899105919,0.957091440782814,0.7815561959654179,0.975010905465196
44,KAN,0.25,0.9,0.7995283018867925,0.973920395421436,0.9600719829040603,0.7815561959654179,0.975010905465196
45,LEV,0.05,0.9,0.9269588313413014,0.9607398161806422,0.860629615235134,0.8979416809605489,0.9671508592044052
46,LEV,0.1,0.9,0.9241748438893844,0.9638793770020988,0.877963466770307,0.888507718696398,0.9689547137567645
47,LEV,0.15,0.9,0.9240393208221627,0.9647318960751796,0.8770307034589973,0.8867924528301887,0.9697142314630209
48,LEV,0.2,0.9,0.9228353521758637,0.9673590504451038,0.8805285658764088,0.8820754716981132,0.9718029051552264
49,LEV,0.25,0.9,0.9225225225225225,0.9676144472499726,0.8806062961523513,0.8782161234991424,0.9719927845817906
50,LZD,0.05,0.9,0.30697674418604654,0.9978735743282428,0.9907436559410616,0.30697674418604654,0.997893527384144
51,LZD,0.1,0.9,0.30697674418604654,0.9978735743282428,0.9907436559410616,0.30697674418604654,0.997893527384144
52,LZD,0.15,0.9,0.30697674418604654,0.9978859705317105,0.996473773691833,0.30697674418604654,0.997893527384144
53,LZD,0.2,0.9,0.30697674418604654,0.9978859705317105,0.996473773691833,0.30697674418604654,0.997893527384144
54,LZD,0.25,0.9,0.30697674418604654,0.9978859705317105,0.996473773691833,0.30697674418604654,0.997893527384144
55,MXF,0.05,0.9,0.944077804793331,0.9213955443463641,0.8639260861937899,0.9235474006116208,0.9339595988133917
56,MXF,0.1,0.9,0.94368660370759,0.9246277396687301,0.8662066545816034,0.9167516139993204,0.9363610679474502
57,MXF,0.15,0.9,0.9432499118787452,0.9273197596795728,0.8666744634816678,0.90927624872579,0.9384800113010312
58,MXF,0.2,0.9,0.9432499118787452,0.9274166666666667,0.8676100812817964,0.90927624872579,0.9384800113010312
59,MXF,0.25,0.9,0.9431296361709643,0.9280898876404494,0.8681363662943687,0.9072375127420998,0.9389744314168668
60,RIF,0.05,0.9,0.9648658859085757,0.9763677430148904,0.9659498207885304,0.9611440398908646,0.9774747837180561
61,RIF,0.1,0.9,0.9643838211613147,0.9768172238522252,0.9732302867383512,0.9578511619155141,0.9776342542758043
62,RIF,0.15,0.9,0.9640185588485939,0.976940151266031,0.9769545250896058,0.9578511619155141,0.9776342542758043
63,RIF,0.2,0.9,0.9633805531463814,0.9843104872006606,0.9687780017921147,0.9405400319879574,0.9848502970139138
64,RIF,0.25,0.9,0.9633805531463814,0.984365356922444,0.9711581541218638,0.9405400319879574,0.9848502970139138
65,STM,0.05,0.9,0.9578207381370826,0.9096332021830181,0.9394899413907809,0.9445407279029463,0.9170839641318271
66,STM,0.1,0.9,0.9559979046621268,0.9256102285935683,0.9156502455251069,0.9036890319385986,0.9329218586235006
67,STM,0.15,0.9,0.9556025369978859,0.9310344827586207,0.9129573895137019,0.8952711067095815,0.9378129730988704
68,STM,0.2,0.9,0.954788657035848,0.9347322348094748,0.9112941549184223,0.8836345630106462,0.9409572609758938
69,STM,0.25,0.9,0.9539509536784742,0.942130530686389,0.901077142404562,0.866798712552612,0.9480610224758356
70,PZA,0.05,0.9,0.8840480274442538,0.973402437635266,0.9746726969769103,0.8741519674355496,0.9741374536190951
71,PZA,0.1,0.9,0.8758721997796548,0.9754000341666192,0.9656748393239705,0.8090230664857531,0.9760757600930388
72,PZA,0.15,0.9,0.8721915285451197,0.9768952660716304,0.9720066650797429,0.8032564450474898,0.9773495043473445
73,PZA,0.2,0.9,0.8704740574841359,0.9802176623965537,0.967436324684599,0.7910447761194029,0.9806723154455336
74,PZA,0.25,0.9,0.8694998119593832,0.9811181673848945,0.9661985241609141,0.7842605156037992,0.9815583984050507
