,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,TP,FP,TN,FN,UP,UN
0,AMI,0.05,0.9,0.855944055944056,0.9830548475408288,0.925392670157068,0.8345454545454546,0.9843994437684687,1836,359,20827,309,55,1826
1,AMI,0.1,0.9,0.8403863845446182,0.983812867630295,0.9560923369823894,0.8304545454545454,0.9845732661220233,1827,355,21576,347,26,1081
2,AMI,0.15,0.9,0.8396139705882353,0.9838973056336751,0.9607329842931938,0.8304545454545454,0.9845732661220233,1827,355,21691,349,24,966
3,AMI,0.2,0.9,0.839096357768557,0.9846411743385285,0.9614865936855466,0.8272727272727273,0.9852685555362419,1820,339,21733,349,31,940
4,AMI,0.25,0.9,0.8387096774193549,0.9847118246595111,0.9655719498651436,0.8272727272727273,0.9852685555362419,1820,339,21835,350,30,838
5,CAP,0.05,0.9,0.8394428152492669,0.9733901918976546,0.906063962342517,0.7995810055865922,0.9760258183494698,1145,312,11413,219,68,1289
6,CAP,0.1,0.9,0.8131462333825702,0.9752379416034844,0.9519590197978679,0.7688547486033519,0.9764100199784848,1101,307,12091,253,78,616
7,CAP,0.15,0.9,0.8125461254612546,0.9753453260520398,0.9557663020905441,0.7688547486033519,0.9764100199784848,1101,307,12145,254,77,562
8,CAP,0.2,0.9,0.8125461254612546,0.9753730145997113,0.9567354284923162,0.7688547486033519,0.9764100199784848,1101,307,12159,254,77,548
9,CAP,0.25,0.9,0.8113485630066323,0.9754890219560878,0.9609580506714661,0.7688547486033519,0.9764100199784848,1101,307,12218,256,75,489
10,CIP,0.05,0.9,,1.0,0.002976190476190476,0.0,1.0,0,0,3,0,164,841
11,CIP,0.1,0.9,,1.0,0.002976190476190476,0.0,1.0,0,0,3,0,164,841
12,CIP,0.15,0.9,,1.0,0.002976190476190476,0.0,1.0,0,0,3,0,164,841
13,CIP,0.2,0.9,0.7272727272727273,0.9534883720930233,0.05357142857142857,0.04878048780487805,0.9976303317535545,8,2,41,3,153,801
14,CIP,0.25,0.9,0.7272727272727273,0.9534883720930233,0.05357142857142857,0.04878048780487805,0.9976303317535545,8,2,41,3,153,801
15,DLM,0.05,0.9,0.16595744680851063,0.9989407480966568,0.9916607408365117,0.16595744680851063,0.9989497177366418,39,16,15089,196,0,129
16,DLM,0.1,0.9,0.11711711711711711,0.9996025173898642,0.9901738961794557,0.11063829787234042,0.9996061441512406,26,6,15089,196,13,139
17,DLM,0.15,0.9,0.10909090909090909,0.9998012191889742,0.9898506690800957,0.10212765957446808,0.9998030720756204,24,3,15089,196,15,142
18,DLM,0.2,0.9,0.10909090909090909,0.9998013902681231,0.9906910595384317,0.10212765957446808,0.9998030720756204,24,3,15102,196,15,129
19,DLM,0.25,0.9,0.10909090909090909,0.9998013902681231,0.9906910595384317,0.10212765957446808,0.9998030720756204,24,3,15102,196,15,129
20,EMB,0.05,0.9,0.9515633724176438,0.8631392788825929,0.8475972873775552,0.9387221151198017,0.8880722571504471,6817,3792,23915,347,98,6172
21,EMB,0.1,0.9,0.9510716300056402,0.8683241916859122,0.8459687416445881,0.9288074910492977,0.892293160955164,6745,3649,24063,347,170,6167
22,EMB,0.15,0.9,0.9496319815269159,0.8798698951933502,0.8409858778347634,0.9060864775543928,0.9018861241477021,6580,3324,24346,349,333,6209
23,EMB,0.2,0.9,0.9444362346682429,0.8967708128643479,0.9066624535135267,0.8800605893693197,0.9069630154372915,6391,3152,27382,376,495,3345
24,EMB,0.25,0.9,0.9381548311990687,0.8981720707918873,0.9196665127245327,0.8877719636463784,0.9069334986274683,6447,3153,27811,425,390,2915
25,ETH,0.05,0.9,0.9051383399209486,0.8571234643317722,0.9140601874691663,0.8724917449834899,0.8711198187718117,3435,2105,12628,360,142,1600
26,ETH,0.1,0.9,0.8929281454132348,0.888941462755171,0.9035520473606314,0.7985775971551943,0.8994061103287823,3144,1643,13151,377,416,1539
27,ETH,0.15,0.9,0.885748289199643,0.9116298172359505,0.8865318204242724,0.7561595123190247,0.9209575705626646,2977,1291,13318,384,576,1724
28,ETH,0.2,0.9,0.8721939539060162,0.9239461397929495,0.8939319190922546,0.7401574803149606,0.9311822690258985,2914,1124,13655,427,596,1554
29,ETH,0.25,0.9,0.8677609166924745,0.9303986936998231,0.8844104588061175,0.7117094234188468,0.9373660686952795,2802,1023,13675,427,708,1635
