DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
RIF,0.2,0.9,0.9614165890027959,0.9852678394154787,0.9711203050214975,0.9439970717423133,0.9857597973361993,0.970512707330341,42,16,352,410,MTBC-CRyPTICv1.1.1-2025.8
INH,0.25,0.9,0.9455340977670489,0.9878950907868191,0.9569698600645856,0.9174352217830478,0.9885096603966295,0.9605295481324874,62,23,626,711,MTBC-CRyPTICv1.1.1-2025.8
STM,0.15,0.9,0.9542897327707455,0.9318181818181818,0.9147426981919332,0.8961038961038961,0.9383958523940226,0.939638860569214,115,8,542,665,MTBC-CRyPTICv1.1.1-2025.8
LEV,0.25,0.9,0.9232218558643429,0.9711028332768935,0.9326539278131635,0.8941605839416058,0.9732860273400814,0.9394725634778721,13,19,330,362,MTBC-CRyPTICv1.1.1-2025.8
MXF,0.25,0.95,0.9406691962745775,0.9410060975609756,0.9318789994182665,0.9141803553469662,0.9455198141761104,0.9390122272892347,11,22,489,522,MTBC-CRyPTICv1.1.1-2025.8
EMB,0.25,0.9,0.9473065621939275,0.9198582371098663,0.9084480510071005,0.8752941176470588,0.9274327122153209,0.9313003624313436,20,58,1056,1134,MTBC-CRyPTICv1.1.1-2025.8
PZA,0.05,0.9,0.8639240506329114,0.9727181989575246,0.9761871862189674,0.8557993730407524,0.9734355596350089,0.9190149222475066,440,0,143,583,MTBC-CRyPTICv1.1.1-2025.8
AMI,0.05,0.9,0.8744855967078189,0.9827564971055549,0.9210909848011659,0.8517034068136272,0.9841941857183178,0.9162879444458092,11,6,383,400,MTBC-CRyPTICv1.1.1-2025.8
CAP,0.05,0.9,0.8402173913043478,0.9760509816013979,0.922950251343387,0.8085774058577406,0.9779814779814779,0.8975140404012707,43,2,234,279,MTBC-CRyPTICv1.1.1-2025.8
ETH,0.05,0.9,0.9089866156787763,0.8698379004245466,0.8961541117171856,0.823346033945272,0.8836667816488444,0.8946755003101892,298,0,325,623,MTBC-CRyPTICv1.1.1-2025.8
KAN,0.1,0.9,0.8355150825270348,0.9713139418254765,0.9182922138579043,0.7982599238716693,0.9737775061124695,0.8928101665827411,11,6,366,383,MTBC-CRyPTICv1.1.1-2025.8
BDQ,0.05,0.9,0.5220588235294118,0.990295835688713,0.9575984322109389,0.4930555555555556,0.9907056487998557,0.7496378489135076,34,0,172,206,MTBC-CRyPTICv1.1.1-2025.8
CIP,0.25,0.9,0.7777777777777778,0.9512195121951219,0.05688282138794084,0.06086956521739131,0.9973821989528796,0.6856313068250136,2,1,1,4,MTBC-CRyPTICv1.1.1-2025.8
LZD,0.25,0.95,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242,0.6474795658293389,1,4,29,34,MTBC-CRyPTICv1.1.1-2025.8
DLM,0.05,0.9,0.34065934065934067,0.9992123503465659,0.6157008988334289,0.2108843537414966,0.9995150809814761,0.5932335552003258,18,0,107,125,MTBC-CRyPTICv1.1.1-2025.8
CFZ,0.05,0.9,0.1945080091533181,0.9869998311666385,0.9638261142498431,0.188470066518847,0.9874725453510128,0.5861191767766192,46,0,172,218,MTBC-CRyPTICv1.1.1-2025.8
