DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
RIF,0.25,0.9,0.9633805531463814,0.984365356922444,0.9711581541218638,0.9405400319879574,0.9848502970139138,0.9712315144742967,41,25,347,413,catomatic_v1
INH,0.25,0.9,0.9443798899992254,0.9882924987017891,0.956511980248022,0.9159966939664888,0.988895356647114,0.9599800906597539,60,23,617,700,catomatic_v1
STM,0.2,0.9,0.954788657035848,0.9347322348094748,0.9112941549184224,0.8836345630106462,0.9409572609758938,0.9400728299444508,89,12,509,610,catomatic_v1
EMB,0.25,0.9,0.9523222359227292,0.914555736308002,0.906068212018308,0.8731863576408517,0.922753694236291,0.931741481257427,17,53,1029,1099,catomatic_v1
PZA,0.05,0.9,0.8840480274442538,0.973402437635266,0.9746726969769104,0.8741519674355496,0.9741374536190952,0.9289792844080889,417,1,157,575,catomatic_v1
LEV,0.2,0.9,0.9228353521758637,0.9673590504451038,0.8805285658764088,0.8820754716981132,0.9718029051552264,0.9277311043967448,14,15,317,346,catomatic_v1
MXF,0.25,0.9,0.9431296361709643,0.9280898876404494,0.8681363662943687,0.9072375127420998,0.9389744314168668,0.9236190576364907,11,18,383,412,catomatic_v1
AMI,0.05,0.9,0.8485263879369431,0.9829601377952756,0.9225121074832058,0.8258839226150767,0.9843538183461364,0.9036536568036954,14,8,387,409,catomatic_v1
CAP,0.05,0.9,0.8441410693970421,0.9751574127074986,0.9200880467030338,0.811816192560175,0.9772417409543788,0.8986353678513774,43,4,232,279,catomatic_v1
ETH,0.05,0.9,0.9130277878022376,0.8627999278369114,0.9140501319261214,0.8793882516510254,0.8761703166978752,0.8981638986374164,295,4,358,657,catomatic_v1
KAN,0.05,0.9,0.8326577880718008,0.9256366500393804,0.9539421887301766,0.8288184438040346,0.9293949024739828,0.8848083267937499,23,6,357,386,catomatic_v1
BDQ,0.05,0.9,0.5412844036697247,0.9906043676993398,0.9602158331319964,0.4957983193277311,0.9909741421369328,0.7598666787710636,28,6,218,252,catomatic_v1
LZD,0.2,0.9,0.3069767441860465,0.9978859705317104,0.996473773691833,0.3069767441860465,0.997893527384144,0.652148917990903,1,5,37,43,catomatic_v1
DLM,0.05,0.9,0.1725888324873096,0.9989964037802124,0.9914348641814176,0.1725888324873096,0.9990051401094346,0.5842803102140021,17,1,49,67,catomatic_v1
CFZ,0.05,0.9,0.1724137931034483,0.9900089472114524,0.9588655404477407,0.1635111876075731,0.9904155639796868,0.574982688804708,49,5,216,270,catomatic_v1
