Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
146,RIF,0.2,0.9,0.961416589002796,0.9852678394154788,0.9711203050214976,0.9439970717423132,0.9857597973361992,0.9705127073303412,42,16,353,411,catomatic_v3.4.0_train
88,INH,0.25,0.9,0.9455340977670488,0.9878950907868193,0.9569698600645856,0.9174352217830478,0.9885096603966296,0.9605295481324874,62,23,629,714,catomatic_v3.4.0_train
154,STM,0.15,0.9,0.9542897327707456,0.9318181818181818,0.9147426981919332,0.8961038961038961,0.9383958523940226,0.939638860569214,115,8,545,668,catomatic_v3.4.0_train
108,LEV,0.25,0.9,0.9232218558643428,0.9711028332768936,0.9326539278131636,0.8941605839416058,0.9732860273400814,0.9394725634778721,13,19,332,364,catomatic_v3.4.0_train
129,MXF,0.25,0.95,0.9406691962745776,0.9410060975609756,0.9318789994182664,0.9141803553469662,0.9455198141761104,0.9390122272892347,11,22,491,524,catomatic_v3.4.0_train
68,EMB,0.25,0.9,0.9473065621939276,0.9198582371098664,0.9084480510071004,0.8752941176470588,0.9274327122153208,0.9313003624313437,20,58,1058,1136,catomatic_v3.4.0_train
130,PZA,0.05,0.9,0.8639240506329114,0.9727181989575246,0.9761871862189674,0.8557993730407524,0.9734355596350088,0.9190149222475066,440,0,144,584,catomatic_v3.4.0_train
0,AMI,0.05,0.9,0.8744855967078189,0.9827564971055548,0.921090984801166,0.8517034068136272,0.9841941857183178,0.9162879444458091,11,6,385,402,catomatic_v3.4.0_train
20,CAP,0.05,0.9,0.8402173913043478,0.976050981601398,0.922950251343387,0.8085774058577406,0.977981477981478,0.8975140404012707,43,2,236,281,catomatic_v3.4.0_train
70,ETH,0.05,0.9,0.9089866156787764,0.8698379004245466,0.8961541117171856,0.823346033945272,0.8836667816488444,0.8946755003101893,298,0,327,625,catomatic_v3.4.0_train
92,KAN,0.1,0.9,0.8355150825270348,0.9713139418254764,0.9182922138579044,0.7982599238716693,0.9737775061124696,0.892810166582741,11,6,368,385,catomatic_v3.4.0_train
10,BDQ,0.05,0.9,0.5220588235294118,0.990295835688713,0.9575984322109388,0.4930555555555556,0.9907056487998556,0.7496378489135076,35,0,177,212,catomatic_v3.4.0_train
38,CIP,0.25,0.9,0.7777777777777778,0.951219512195122,0.0568828213879408,0.0608695652173913,0.9973821989528796,0.6856313068250136,2,1,2,5,catomatic_v3.4.0_train
119,LZD,0.25,0.95,0.2975609756097561,0.9979050279329608,0.9966378482228626,0.2975609756097561,0.9979121720370242,0.6474795658293389,1,4,30,35,catomatic_v3.4.0_train
50,DLM,0.05,0.9,0.3406593406593406,0.999212350346566,0.6157008988334289,0.2108843537414966,0.999515080981476,0.5932335552003258,18,0,108,126,catomatic_v3.4.0_train
40,CFZ,0.05,0.9,0.1945080091533181,0.9869998311666384,0.9638261142498432,0.188470066518847,0.9874725453510128,0.5861191767766192,47,0,177,224,catomatic_v3.4.0_train
