,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,TP,FP,TN,FN,UP,UN,Score,R,S,U,Total,catalogue
0,59,RIF,0.25,0.9,0.9609911504424778,0.9816412450824764,0.9720142522099946,0.9391821767107176,0.982202000602188,13574,532,28446,551,328,913,0.9693907991879808,45,26,384,455,catomatic_v3
1,34,INH,0.25,0.9,0.9461437310616888,0.9847467725918572,0.9601242180116116,0.9223609408092744,0.9855072463768116,16549,384,24791,942,451,1321,0.9605207409107238,82,28,688,798,catomatic_v3
2,64,STM,0.25,0.9,0.9515655577299412,0.9337196667873958,0.8942460604308227,0.859288712171416,0.9410121413989472,3890,549,7734,198,439,1024,0.9347478909873539,76,13,558,647,catomatic_v3
3,43,LEV,0.2,0.9,0.9205572289156626,0.970970970970971,0.8854758737453138,0.8735262593783494,0.974670645607395,2445,348,11640,211,143,1751,0.9286650804981853,13,16,381,410,catomatic_v3
4,53,MXF,0.2,0.9,0.945364238410596,0.9180419406874302,0.878124721999822,0.9109279446955596,0.929437530046472,3426,1321,14797,198,137,2603,0.9237196458114916,14,21,462,497,catomatic_v3
5,23,EMB,0.2,0.9,0.9444362346682428,0.8967708128643479,0.9066624535135268,0.8800605893693197,0.9069630154372916,6391,3152,27382,376,495,3345,0.9225818518961312,20,45,1141,1206,catomatic_v3
6,0,AMI,0.05,0.9,0.855944055944056,0.9830548475408288,0.925392670157068,0.8345454545454546,0.9843994437684688,1836,359,20827,309,55,1826,0.9079670162656903,13,8,463,484,catomatic_v3
7,39,KAN,0.25,0.9,0.8239516433698527,0.9751432177881348,0.9616100608116492,0.8083765752409192,0.9761583236321304,2181,512,20086,466,51,877,0.8968407991836966,8,23,466,497,catomatic_v3
8,26,ETH,0.1,0.9,0.8929281454132348,0.888941462755171,0.9035520473606314,0.7985775971551943,0.8994061103287823,3144,1643,13151,377,416,1539,0.8938569210052951,162,5,655,822,catomatic_v3
9,5,CAP,0.05,0.9,0.8394428152492669,0.9733901918976546,0.906063962342517,0.7995810055865922,0.9760258183494698,1145,312,11413,219,68,1289,0.8929512576624332,59,3,286,348,catomatic_v3
10,13,CIP,0.2,0.9,0.7272727272727273,0.9534883720930232,0.0535714285714285,0.048780487804878,0.9976303317535544,8,2,41,3,153,801,0.6603971609785563,2,2,9,13,catomatic_v3
11,45,LZD,0.05,0.9,0.3035230352303523,0.99772760954404,0.9912951474053768,0.3027027027027027,0.9977476374675612,112,46,20197,257,1,180,0.6493388299594636,2,1,51,54,catomatic_v3
12,15,DLM,0.05,0.9,0.1659574468085106,0.9989407480966568,0.9916607408365116,0.1659574468085106,0.9989497177366418,39,16,15089,196,0,129,0.5809930960005547,20,1,59,80,catomatic_v3
