,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
0,RIF,MTBC-CRyPTICv1.1.1-2025.8,0.9594667023984993,0.9838769804287045,0.9722056001485669,0.9414897113930708,0.9843919162757128,0.9561829654112711,0.9625139971674211,0.9824422319672289,0.9851962537924367,0.9707042261472487,0.9736321205669707,14321,605,31671,519,285,1062
1,RIF,MTBC-CRyPTICv3.4.0-2025.8,0.9595155246252677,0.9839284055368036,0.9747023502465799,0.9426730655446717,0.9843919162757128,0.956235649017984,0.9625592176412148,0.9824981908061166,0.9852435012058076,0.9732662365543326,0.9760632145734603,14339,605,31774,519,267,959
2,RIF,WHOv1,0.9601924471099981,0.9741787671444936,0.9795514103542909,0.9577937019262376,0.9749188018765789,0.9569633643590836,0.9631885683003714,0.9723918990854855,0.9758528563812451,0.9782528267766931,0.9807739758981225,14569,604,31465,834,38,953
3,RIF,WHOv2,0.9605193778012128,0.9740779833602384,0.9777355921011907,0.9580566695154822,0.9748887284975339,0.9573023622258234,0.9635032509533954,0.9722853528049826,0.9757575545652859,0.9763836452336392,0.9790118087767594,14573,599,31377,835,39,1040
4,INH,MTBC-CRyPTICv1.1.1-2025.8,0.9456444468748291,0.9856204509142553,0.9569839307787392,0.9156033250383862,0.986342022729572,0.942263900840919,0.9488378036211171,0.9841624049474131,0.9869460462109199,0.9551425241100707,0.958753011694066,17293,994,27760,405,600,1488
5,INH,MTBC-CRyPTICv3.4.0-2025.8,0.9462923900697712,0.9850168649032487,0.9611454470539761,0.9263514586752792,0.9857687249182208,0.9429491578144246,0.9494502085430055,0.9835304932145601,0.9863709505469758,0.9593894858092193,0.9628284239121672,17496,993,27743,422,398,1488
6,INH,WHOv1,0.9352128247650636,0.9871926774754319,0.9533786567779151,0.8957483983692487,0.9878258523589519,0.9315326398779156,0.9387082117309546,0.9858120365190203,0.9884405426428698,0.9514669833232396,0.955218575077339,16918,1172,27826,361,797,1466
7,INH,WHOv2,0.942153778219352,0.9860827145880412,0.9475896168108776,0.9037433155080213,0.9869153205409233,0.938659705290387,0.9454603857333909,0.9846390822153448,0.9873924103435316,0.9455714419455239,0.9495369527384845,17069,1048,27491,388,770,1774
8,EMB,MTBC-CRyPTICv1.1.1-2025.8,0.9385298753403066,0.9061233825643706,0.9047206374425266,0.8666313839640116,0.9154577288644322,0.932649837439003,0.9439274178369249,0.9028046005285031,0.9093402229946963,0.9018597371290387,0.9075066924752033,6550,429,27731,2873,579,3379
9,EMB,MTBC-CRyPTICv3.4.0-2025.8,0.9430916933351885,0.8975535168195719,0.9129534676584579,0.8967980947340566,0.9073360209516523,0.9374952068716164,0.9482147669155853,0.8941137704440851,0.9008939076983535,0.9102042640355482,0.9156263034972977,6778,409,27589,3149,371,3245
10,EMB,WHOv1,0.9514577050122074,0.8927583108715185,0.8374377121398137,0.876554644085737,0.9121913898125533,0.946156200152483,0.9562613497746866,0.8890683150377908,0.8963398749633117,0.8338584383040923,0.8409545833748646,6625,338,24841,2984,595,6158
11,EMB,WHOv2,0.9343055154490326,0.902203245089667,0.8714523001372139,0.856178883302461,0.9157519936438807,0.9282267528091586,0.9399027759468701,0.8987476642944245,0.9055532856977586,0.8681993445839703,0.8746365627473759,6471,455,26412,2863,632,4708
12,PZA,MTBC-CRyPTICv1.1.1-2025.8,0.8715481171548117,0.9699900255865389,0.9675053868075346,0.8353719671144977,0.9709084794215328,0.8617635994353636,0.880735923296653,0.9677083971963069,0.9721150863367728,0.9653934581221685,0.9694925039989989,4166,614,22367,692,207,728
13,PZA,MTBC-CRyPTICv3.4.0-2025.8,0.875632975491189,0.9667617565698479,0.9756377285049003,0.8668538199318228,0.967671417160634,0.8661347339911382,0.8845471146195808,0.9643733170961221,0.9689952212508443,0.9737918671225652,0.9773566072745725,4323,614,22367,769,50,651
14,PZA,WHOv1,0.8631872852233677,0.9680400462071621,0.9741085702370196,0.8058953278524162,0.9685962920923193,0.8530164968643372,0.8727592682313088,0.9657070391536875,0.9702192295229768,0.9722093414454285,0.9758812246605011,4019,637,22626,747,331,414
15,PZA,WHOv2,0.8654774396642183,0.9696064202168531,0.9797386529505804,0.8269500701824745,0.9700676840290915,0.855494287201844,0.87487178390284,0.9673299539840605,0.9717288970401681,0.978045528016385,0.981303700434447,4124,641,22714,712,222,361
16,LEV,MTBC-CRyPTICv1.1.1-2025.8,0.9195626708317064,0.9725520564446739,0.9318659658344284,0.8860045146726863,0.9746059544658494,0.9083901657077901,0.9294783865995729,0.969421875179644,0.9753699524834007,0.9277528856666161,0.9357610989974326,2355,206,11303,319,97,940
17,LEV,MTBC-CRyPTICv3.4.0-2025.8,0.91943684004693,0.9734877734877735,0.9337713534822601,0.8844996237772762,0.975402006049992,0.9082477912980103,0.9293675138633661,0.9704114518776444,0.9762520771687834,0.9297100913019831,0.9376137070780639,2351,206,11346,309,101,907
18,LEV,WHOv1,0.9201565557729942,0.9699600625108525,0.9246386333771354,0.8844996237772762,0.9724566151886642,0.909004753275098,0.9300468388424921,0.9666826053607436,0.9729241440197571,0.9203369071660911,0.9287260599545154,2351,204,11172,346,103,1044
19,LEV,WHOv2,0.9207151185386708,0.9684575389948007,0.9272667542706965,0.8912716328066215,0.9710237223372075,0.9096372276242011,0.9305386367422566,0.965109527717161,0.9714937718489906,0.9230322397705124,0.9312856428204368,2369,204,11176,364,85,1022
