,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2
2,AMI,WHOv1,0.8474810213940649,0.9832625684573257,0.9217309795344477,0.819212808539026,0.9846362403976503
22,AMI,catomatic_v1,0.8485263879369431,0.9829601377952756,0.9225121074832058,0.8258839226150767,0.9843538183461364
0,BDQ,WHOv1,0.0,1.0,1.0,0.0,1.0
26,BDQ,catomatic_v1,0.5412844036697247,0.9906043676993398,0.9602158331319964,0.4957983193277311,0.9909741421369328
3,CAP,WHOv1,0.8140589569160998,0.97534516765286,0.9577950043066322,0.7855579868708972,0.9764027267960147
23,CAP,catomatic_v1,0.8441410693970421,0.9751574127074986,0.9200880467030338,0.811816192560175,0.9772417409543788
1,CFZ,WHOv1,0.0,1.0,1.0,0.0,1.0
29,CFZ,catomatic_v1,0.1724137931034483,0.9900089472114524,0.9588655404477407,0.1635111876075731,0.9904155639796868
4,DLM,WHOv1,0.06321839080459771,0.999748911951791,0.9888245370748022,0.05583756345177665,0.9997512850273587
28,DLM,catomatic_v1,0.1725888324873096,0.9989964037802124,0.9914348641814176,0.1725888324873096,0.9990051401094346
5,EMB,WHOv1,0.9612561174551386,0.9030504761102216,0.8456518529455189,0.8882607876389674,0.9194271307514532
18,EMB,catomatic_v1,0.9523222359227292,0.914555736308002,0.906068212018308,0.8731863576408517,0.922753694236291
6,ETH,WHOv1,0.890950226244344,0.8999810570183747,0.8422163588390501,0.6843934654153633,0.9140275177074004
24,ETH,catomatic_v1,0.9130277878022376,0.8627999278369114,0.9140501319261214,0.8793882516510254,0.8761703166978752
7,INH,WHOv1,0.9334797615312206,0.9891050219769943,0.9576903652993659,0.8941317905176948,0.9895670084628129
16,INH,catomatic_v1,0.9443798899992254,0.9882924987017891,0.956511980248022,0.9159966939664888,0.988895356647114
8,KAN,WHOv1,0.7997637330183107,0.9734106357457017,0.9390957147677427,0.7804034582132565,0.9751355393531501
25,KAN,catomatic_v1,0.8326577880718008,0.9256366500393804,0.9539421887301766,0.8288184438040346,0.9293949024739828
9,LEV,WHOv1,0.9140939597315436,0.9674872753713514,0.9220365332296929,0.8760720411663808,0.9702838697427134
20,LEV,catomatic_v1,0.9228353521758637,0.9673590504451038,0.8805285658764088,0.8820754716981132,0.9718029051552264
10,LZD,WHOv1,0.30697674418604654,0.9978735743282428,0.9907436559410616,0.30697674418604654,0.997893527384144
27,LZD,catomatic_v1,0.3069767441860465,0.9978859705317104,0.996473773691833,0.3069767441860465,0.997893527384144
11,MXF,WHOv1,0.9375438596491228,0.9290545854963033,0.9101222150751418,0.90791709140333,0.9362904365023308
21,MXF,catomatic_v1,0.9431296361709643,0.9280898876404494,0.8681363662943687,0.9072375127420998,0.9389744314168668
14,PZA,WHOv1,0.8739193083573487,0.9720381807973049,0.9800523684836944,0.8229308005427408,0.9724206678850308
19,PZA,catomatic_v1,0.8840480274442538,0.973402437635266,0.9746726969769104,0.8741519674355496,0.9741374536190952
12,RIF,WHOv1,0.9641678453559641,0.9732943790634516,0.9774585573476703,0.961990779941669,0.9741259020053422
15,RIF,catomatic_v1,0.9633805531463814,0.984365356922444,0.9711581541218638,0.9405400319879574,0.9848502970139138
13,STM,WHOv1,0.9518072289156626,0.9451404457338785,0.8766830350071282,0.8214904679376083,0.9515546756725283
17,STM,catomatic_v1,0.954788657035848,0.9347322348094748,0.9112941549184224,0.8836345630106462,0.9409572609758938
