,DRUG,Comparison,sens_p_value,spec_p_value,dpr_p_value,sens2_p_value,spec2_p_value
0,RIF,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.9829267389918473,0.9586228665031469,0.01561766851138643,0.6586342113351247,1.0
1,INH,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.783464799494229,0.551485431625895,0.0010678902854525888,0.00010808806888800198,0.5516341321483429
2,EMB,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.24989342721546592,0.0003614840844416539,3.7540444082401856e-05,9.339068929846138e-09,0.0001949259918782149
3,PZA,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.5446180229734114,0.04743637203152761,4.376209764758692e-09,1.0047898389560302e-05,0.040741014967755215
4,LEV,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.9868006397869379,0.6595350800243599,0.5067053318296222,0.8633337609350084,0.6861199355034402
5,MXF,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.9298449088266794,0.8422011575602919,0.004570753992347487,0.9360322652035065,1.0
6,BDQ,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,4.0681440686370554e-06,9.311770311773444e-05,1.6695441831348608e-20,3.909272070293028e-46,7.583805473651271e-05
7,LZD,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.9334850203200892,0.9814675312990074,8.378170266639434e-10,0.9335263821579116,1.0
8,CFZ,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.47940188636884373,0.0002895158291726926,0.025730267652846445,0.3876930688346646,0.00024894794169599783
9,DLM,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.5561686122866869,0.4055749873836144,0.9102992872554864,0.4324894097055533,0.4052640115407361
10,AMI,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.9954956234588751,0.8827564474330187,0.9344545751916156,0.966009112244247,0.8809564519223987
11,STM,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.8286202354595222,0.1903846294010214,0.0006800700224322648,0.0020858177735951413,0.14065565118315956
12,ETH,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.1554809617687938,2.523369577005939e-18,0.018653664533959963,1.1599169139185448e-07,8.270712772927222e-18
13,KAN,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.0270756805872589,0.00595527698542813,8.086924274587205e-92,0.5163443377620921,0.05275451173529022
14,CAP,MTBC-CRyPTICv1.1.1-2025.8 > MTBC-CRyPTICv3.4.0-2025.8,0.8717653310239718,0.9388277108456878,0.6628318324851012,0.4047961832469624,0.9374853470416171
