,DRUG,Comparison,sens_p_value,spec_p_value,dpr_p_value,sens2_p_value,spec2_p_value
0,RIF,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.8352356840673278,0.00938793265773787,1.360860975745935e-06,0.35113843758878893,0.014329546797937463
1,INH,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.113526243606483,0.5879896647124162,1.9979250877597286e-22,2.1297994828156966e-10,0.4754208044183076
2,EMB,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.6267985340799305,0.324825253442535,5.486521896282078e-95,0.00011609681159666996,0.21212992344783288
3,PZA,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.13619075593213784,0.08030784309703494,0.0008671434951106709,3.1351359330494064e-08,0.13238807707028025
4,LEV,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.865943547365456,0.02248381462943161,0.025641064669947113,0.43393505788892883,0.03162858660363644
5,MXF,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.9076004650060822,0.037234581411269056,7.224357646386534e-07,0.32833886236501764,0.09539472224830119
6,BDQ,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.05384117231126571,0.7981981985776792,7.022194785447867e-05,8.20727748579845e-08,0.6644365131249235
7,LZD,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.9800780259714433,0.9814675312990074,6.00554794886546e-10,1.0,1.0
8,CFZ,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.4065217676349886,3.6751595767015846e-06,0.025730267652846445,0.3220068808849942,2.827253998071018e-06
9,DLM,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.00029781151754055196,0.1335137771810711,0.0,0.07671664616136106,0.5928812840749732
10,AMI,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.4528581068261648,0.8880923066114063,0.04023623741413804,0.7990808450453257,0.9400667082070336
11,STM,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.1981981122780896,3.151364488578245e-12,5.849747882372104e-69,3.621886760336079e-55,4.838865974105559e-15
12,ETH,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.06294017261330642,4.70213151675037e-19,1.0006567632865966e-51,1.8959457347486275e-32,1.0549596234504197e-23
13,KAN,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.9105610548457589,0.11100690842429559,5.927705259883961e-28,0.4327625446863751,0.04489239671106634
14,CAP,MTBC-CRyPTICv3.4.0-2025.8 > WHOv2,0.2520961014694668,0.9081475747172646,1.166324605547996e-31,0.597352793556065,0.5873662900757588
