,DRUG,Comparison,sens_p_value,spec_p_value,dpr_p_value,sens2_p_value,spec2_p_value
0,AMI,WHOv1 > WHOv2,0.5030079439683361,0.9495064374023403,0.05305962308218297,1.0,1.0
1,AMI,WHOv1 > catomatic_v3.4.0,0.960730134733557,0.8664422960674962,0.8353804994203515,0.7206026311191236,0.8642357838735499
2,AMI,WHOv2 > catomatic_v3.4.0,0.47156885588682984,0.8167435568166026,0.08422046457413664,0.7206026311191236,0.8642357838735499
3,BDQ,WHOv1 > WHOv2,1.838349801236106e-20,6.810691606748316e-40,1.1156651180024951e-82,1.5669406716018424e-17,1.0610533771495034e-38
4,BDQ,WHOv1 > catomatic_v3.4.0,1.0622408765302523e-23,2.6148423843450904e-25,9.050783120528644e-108,2.808519189039818e-22,2.62917434714421e-24
5,BDQ,WHOv2 > catomatic_v3.4.0,0.38161414336418464,0.000105150410433079,9.565718731926619e-05,0.12345193514483117,7.102329828706797e-05
6,CAP,WHOv1 > WHOv2,0.9170036613255859,0.8714213765830104,0.5521050600407433,0.7803588792258263,0.8906082662786182
7,CAP,WHOv1 > catomatic_v3.4.0,0.09399613551769347,0.9650740796931597,7.217550114569832e-32,0.1731598331845845,0.6761943524579015
8,CAP,WHOv2 > catomatic_v3.4.0,0.11582746573512041,0.9073487557025124,5.374260639314206e-29,0.2785658033244819,0.5787767044624906
9,CFZ,WHOv1 > WHOv2,2.5400677645357518e-17,9.340792856609652e-38,3.556780257262952e-108,6.038368794281274e-16,1.8507433444341078e-36
10,CFZ,WHOv1 > catomatic_v3.4.0,6.901740967964692e-23,7.425734378687896e-37,4.134141976036169e-104,3.4151337588968666e-22,1.4210128572568563e-35
11,CFZ,WHOv2 > catomatic_v3.4.0,0.07055050590740186,0.8231781907585136,0.5496862817375764,0.03003810355768269,0.8197192364182242
12,DLM,WHOv1 > WHOv2,0.07279045338479087,0.479586169783338,0.3793300072521849,0.04212267445433445,0.47941487384018
13,DLM,WHOv1 > catomatic_v3.4.0,2.3760665196521372e-06,0.1596141881854124,0.0,0.0008581206663936728,0.47941487384018
14,DLM,WHOv2 > catomatic_v3.4.0,0.0013187101572405776,0.44754316421781315,0.0,0.17211766564931186,1.0
15,EMB,WHOv1 > WHOv2,0.0001374517441452417,0.0006644877820999117,2.998521545263438e-43,0.00021410602629046293,0.1061122336127425
16,EMB,WHOv1 > catomatic_v3.4.0,0.014997891110466857,8.346910643505684e-06,6.789763274630577e-131,0.0834269218259427,0.11321783508765156
17,EMB,WHOv2 > catomatic_v3.4.0,0.16393785514176828,0.29940621004991796,1.1546599344748368e-26,0.04845056453348809,0.974448572494919
