,DRUG,Comparison,sens_p_value,spec_p_value,dpr_p_value,sens2_p_value,spec2_p_value
0,RIF,WHOv1 > WHOv2,0.9289476186801224,0.9419687076194221,0.09447789137189481,0.9760169741001685,0.9754582972438574
1,INH,WHOv1 > WHOv2,0.02418399581931821,0.36147878648882015,0.012891516504968597,0.04927021712391665,0.39490832287766886
2,EMB,WHOv1 > WHOv2,0.00015836737730574418,0.0008915442844595222,3.321164741544945e-78,0.00024558160149407843,0.10343432980008785
3,PZA,WHOv1 > WHOv2,0.8582377332565723,0.23048716252180845,0.009076699175692681,0.25058603141678937,0.22139500764195752
4,LEV,WHOv1 > WHOv2,0.9135107396531504,0.7277916192182946,0.4624575988662154,0.4585081165399465,0.7174809804050006
5,MXF,WHOv1 > WHOv2,0.9683267059772359,0.8685472296226686,0.00025753698472686347,0.512224627130848,0.6735311947883547
6,BDQ,WHOv1 > WHOv2,4.7739372013064726e-12,8.149873006932675e-29,2.383728040360721e-72,7.235748785457533e-11,4.551188148133907e-28
7,LZD,WHOv1 > WHOv2,1.0,1.0,1.0,1.0,1.0
8,CFZ,WHOv1 > WHOv2,5.867263196336784e-10,9.478299578194377e-26,1.067258536817799e-98,2.780551815617916e-09,5.8490561673541625e-25
9,DLM,WHOv1 > WHOv2,0.09674413639330028,0.41428469020888514,0.39850431565920874,0.06112184701844116,0.414148258849767
10,AMI,WHOv1 > WHOv2,0.5724945480388997,0.9509562430067807,0.04149864771280829,1.0,1.0
11,STM,WHOv1 > WHOv2,0.950805136236911,0.8724797155024603,0.6412337807923134,0.5751321972727631,0.8658537620840843
12,ETH,WHOv1 > WHOv2,0.6325939847658135,0.8334106951439837,0.2078497398895216,0.012648141102897994,0.8132063900498229
13,KAN,WHOv1 > WHOv2,0.9519106319526424,0.9186039472821336,0.01014926414010115,1.0,1.0
14,CAP,WHOv1 > WHOv2,0.946430224869452,0.8639319041033442,0.47400716948554655,0.9174212085824032,0.8814888262152505
