,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2
0,AMI,WHOv1,0.8553370786516854,0.9832404872061185,0.9248770426780898,0.8304545454545454,0.9845732661220233
1,AMI,WHOv2,0.8485833720390153,0.9833302028549963,0.9300729811201015,0.8304545454545454,0.9845732661220233
2,AMI,catomatic_v1,0.8560111835973905,0.9829620539928261,0.9255116611137554,0.835,0.9843125325916913
3,AMI,catomatic_v3,0.855944055944056,0.9830548475408288,0.925392670157068,0.8345454545454546,0.9843994437684687
4,CAP,WHOv1,0.8118518518518518,0.9746041951297919,0.954797175688772,0.7653631284916201,0.9757184570462579
5,CAP,WHOv2,0.8178545716342692,0.9738304211289154,0.9558355254049564,0.7932960893854749,0.9750268941140311
6,CAP,catomatic_v1,0.8327192336035372,0.9741602067183462,0.9244081406617749,0.7891061452513967,0.9761794990010758
7,CAP,catomatic_v3,0.8394428152492669,0.9733901918976546,0.906063962342517,0.7995810055865922,0.9760258183494698
8,DLM,WHOv1,0.05314009661835749,0.9998012191889742,0.9890102786217596,0.04680851063829787,0.9998030720756204
9,DLM,WHOv2,0.1210762331838565,0.9996025173898642,0.9902385415993277,0.1148936170212766,0.9996061441512406
10,DLM,catomatic_v1,0.15517241379310345,0.9990730318479772,0.9913375137371517,0.15319148936170213,0.9990810030195615
11,DLM,catomatic_v3,0.16595744680851063,0.9989407480966568,0.9916607408365117,0.16595744680851063,0.9989497177366418
12,EMB,WHOv1,0.9537978468899522,0.8859614201440411,0.8341800150701247,0.8784081520242357,0.9069925322471147
13,EMB,WHOv2,0.9385122975404919,0.8953588533232264,0.8675287426168542,0.8617460754613054,0.9103574485669589
14,EMB,catomatic_v1,0.942925803544608,0.9000394451383867,0.9012906832600083,0.8645001377031121,0.9102393813276661
15,EMB,catomatic_v3,0.9444362346682429,0.8967708128643479,0.9066624535135267,0.8800605893693197,0.9069630154372915
16,ETH,WHOv1,0.8821603927986906,0.9039370078740158,0.8399111988159842,0.6845313690627381,0.9178350578583236
17,ETH,WHOv2,0.8848,0.8967059491693881,0.8490873211642822,0.7023114046228093,0.910916549317333
18,ETH,catomatic_v1,0.9022474952613052,0.8613787488125932,0.9092747903305377,0.8463296926593853,0.8749158146084614
19,ETH,catomatic_v3,0.8929281454132348,0.888941462755171,0.9035520473606314,0.7985775971551943,0.8994061103287823
20,INH,WHOv1,0.9415420697742597,0.9862931585677749,0.9469148026463837,0.8949949838368075,0.9870546497584541
21,INH,WHOv2,0.9420483608463148,0.9851848893858318,0.9506728475628966,0.9032995206777393,0.9859978864734299
22,INH,catomatic_v1,0.9452275473217882,0.9858021769995268,0.961721949682704,0.9156727232192621,0.9864130434782609
23,INH,catomatic_v3,0.9455490801051308,0.9849240312512269,0.9670327197443629,0.9223609408092743,0.9855072463768116
24,KAN,WHOv1,0.8251986379114642,0.9744905585172637,0.9396434037976255,0.8083765752409192,0.9761583236321304
25,KAN,WHOv2,0.8255109765329296,0.9742920265113476,0.933189922640963,0.8083765752409192,0.9761583236321304
26,KAN,catomatic_v1,0.8472740851381628,0.9322300250454255,0.9531708931452447,0.8409933283914011,0.9357392316647264
27,KAN,catomatic_v3,0.8239516433698527,0.9751432177881347,0.9616100608116493,0.8083765752409192,0.9761583236321304
28,LEV,WHOv1,0.9109281437125748,0.9695213905865545,0.9233885596807353,0.8695962843872812,0.9720503675667806
29,LEV,WHOv2,0.9115898959881129,0.9682275572458601,0.925928165437175,0.8767416934619507,0.9708130140476017
30,LEV,catomatic_v1,0.9193245778611632,0.9703184925796231,0.8863828758011851,0.8753126116470168,0.9740883615983696
31,LEV,catomatic_v3,0.9205572289156626,0.970970970970971,0.8854758737453138,0.8735262593783494,0.974670645607395
32,LZD,WHOv1,0.3016304347826087,0.9977276095440399,0.9912470542971192,0.3,0.9977476374675611
33,LZD,WHOv2,0.3016304347826087,0.9977276095440399,0.9912470542971192,0.3,0.9977476374675611
34,LZD,catomatic_v1,0.3008130081300813,0.9977392244556937,0.9962968306641659,0.3,0.9977476374675611
35,LZD,catomatic_v3,0.3035230352303523,0.9977276095440399,0.9912951474053768,0.3027027027027027,0.9977476374675611
36,MXF,WHOv1,0.9405584738733758,0.919248770661769,0.9116626634641046,0.9045466631215102,0.9271940601463597
37,MXF,WHOv2,0.9404009887393573,0.9186502134627756,0.9225157904101059,0.9103961712310555,0.9256984135462849
38,MXF,catomatic_v1,0.9449694274596998,0.9185148268128582,0.874032559380838,0.9040148896570062,0.9301319373965066
39,MXF,catomatic_v3,0.945364238410596,0.9180419406874302,0.878124721999822,0.9109279446955597,0.9294375300464719
40,RIF,WHOv1,0.9618638191651643,0.9700782515770968,0.9794109687894642,0.9598007334117484,0.970961158877254
41,RIF,WHOv2,0.9621974058403274,0.9699861687413555,0.977291178062421,0.9598007334117484,0.970961158877254
42,RIF,catomatic_v1,0.9608788093550673,0.9816336394393427,0.9714053761500993,0.9380751401093199,0.982202000602188
43,RIF,catomatic_v3,0.9609911504424778,0.9816412450824764,0.9720142522099946,0.9391821767107175,0.982202000602188
44,STM,WHOv1,0.9490899498812978,0.9381011097410604,0.8602717941304033,0.7947868345482659,0.9460621037928441
45,STM,WHOv2,0.9488335100742312,0.9397233201581028,0.8578863669220761,0.7905897945659377,0.9475663479101751
46,STM,catomatic_v1,0.9532642736689955,0.9221929614555902,0.9039323406100911,0.8740888005301524,0.9301600945524874
47,STM,catomatic_v3,0.9515655577299413,0.9337196667873958,0.8942460604308227,0.859288712171416,0.9410121413989471
