,DRUG,catalogue,SENSITIVITY,SPECIFICITY,PPV,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,PPV_LOW,PPV_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
0,RIF,WHOv1,0.9620287994130056,0.9750514810708063,0.9433402284378092,0.9776642059435926,0.9598279648609077,0.9758185237784516,0.958275476185592,0.9654566636863083,0.9730543189260968,0.9769041308495175,0.9388879158450517,0.9474863111454414,0.9761077524462483,0.9791214335254064,10489,414,24622,630,25,801
1,RIF,WHOv2,0.9623853211009175,0.974947393496645,0.9432604981566406,0.9758254238663098,0.9599194729136163,0.9757801404828619,0.9586475297950684,0.9657973127008536,0.9729436682241375,0.9768062652630007,0.9388057904306021,0.947409086113366,0.9742099070224769,0.9773420967676233,10490,410,24556,631,28,866
2,RIF,MTBC-CRyPTICv1.1.1-2025.8,0.9614165890027959,0.9852678394154787,0.9652849256105549,0.9711203050214975,0.9439970717423133,0.9857597973361993,0.9576041499142528,0.964898761833422,0.9837040947419168,0.9866835594607705,0.9616437171614277,0.9685917594665302,0.9693639238937937,0.9727788196082106,10316,414,24812,371,198,870
3,INH,WHOv1,0.9346814193056086,0.9891836553013442,0.9805475504322767,0.9572389666307858,0.8965744400527009,0.9896586943569665,0.9303223574512985,0.938785720160996,0.9877449734816235,0.9904550748045025,0.977973805845739,0.9828258361443634,0.9551342188643467,0.9592491889341629,12249,856,22223,243,557,1032
4,INH,WHOv2,0.9419969512195122,0.9882474319293052,0.9792409476269709,0.9529870828848224,0.9046259698433612,0.988850114903396,0.9378663321853755,0.9458688178003662,0.9867462403542142,0.9895803860069436,0.9766038087840694,0.9815864417198763,0.9507877620547059,0.955092757248002,12359,761,22031,262,542,1205
5,INH,MTBC-CRyPTICv1.1.1-2025.8,0.9455340977670489,0.9878950907868191,0.978912839737582,0.9569698600645856,0.9174352217830478,0.9885096603966295,0.9415402665449286,0.9492697809720752,0.9863736410152186,0.989248514898859,0.9762768229425761,0.9812615756572792,0.9548589701449071,0.9589862801538682,12534,722,22035,270,406,1193
6,EMB,WHOv1,0.9575508607198748,0.9087482395824704,0.6896308819385742,0.8478191566439647,0.885972850678733,0.9239820565907523,0.9516719633015764,0.9627426130012582,0.9050504316000996,0.912315988769163,0.6787678709181871,0.7002887463844222,0.8439904558634791,0.8515704202859772,4895,217,21939,2203,413,4838
7,EMB,WHOv2,0.9409674234945706,0.9173615481434865,0.6940439784476482,0.8836110708592958,0.8626244343891403,0.9275017253278123,0.9341363922787833,0.947130073893012,0.9139137191108345,0.9206832731021352,0.6830389735020599,0.7048320050341583,0.8801845741467845,0.8869521618572381,4766,299,23323,2101,460,3556
8,EMB,MTBC-CRyPTICv1.1.1-2025.8,0.9473065621939275,0.9198582371098663,0.6969303934284479,0.9084480510071005,0.8752941176470588,0.9274327122153209,0.940834524778416,0.9531059188254511,0.9165113540847875,0.923082210790576,0.6860103936059552,0.7076324709488442,0.9053594903172365,0.9114456763712909,4836,269,24138,2103,420,2739
9,PZA,WHOv1,0.8542696999670294,0.9720383036935705,0.8352675693101225,0.9814379807470868,0.8122257053291536,0.9724096971005886,0.8412645568346098,0.866378574734902,0.9695470465836563,0.9743311548257848,0.8218008022832928,0.8479049852071567,0.9795555889444082,0.9831500352087109,2591,442,17764,511,157,246
10,PZA,WHOv2,0.8555627846454131,0.9722480196667577,0.8381134480560867,0.9847082124268803,0.8244514106583072,0.972571675395497,0.8426919700805756,0.8675460422560274,0.9697675511927013,0.9745303192588797,0.8248135039486261,0.8505865847612933,0.9829880921450707,0.9862568383285333,2630,444,17797,508,116,216
11,PZA,MTBC-CRyPTICv1.1.1-2025.8,0.8639240506329114,0.9727181989575246,0.8472998137802608,0.9761871862189674,0.8557993730407524,0.9734355596350089,0.8515267301292594,0.8754376357961159,0.9702380848992144,0.9749969665854171,0.8344666856675758,0.859305785350938,0.9740733202197596,0.9781325726582142,2730,430,17542,492,30,487
12,LEV,WHOv1,0.9234404536862004,0.9687321693483967,0.8770197486535009,0.9239065817409766,0.8914233576642335,0.9714077011374309,0.9113283347034024,0.9340179021783511,0.9648778433931849,0.9721757167273232,0.8627303036675817,0.8900113363625808,0.918978003427194,0.9285586609299051,1954,162,8489,274,76,820
13,LEV,WHOv2,0.924015009380863,0.9676390154968095,0.8740017746228926,0.9263694267515924,0.8987226277372263,0.9703641865804028,0.9119891112505428,0.9345156667765154,0.9637273043131577,0.9711415129083435,0.8596626789470407,0.8870682278725301,0.9215118445867115,0.9309489033657711,1970,162,8492,284,60,807
14,LEV,MTBC-CRyPTICv1.1.1-2025.8,0.9232218558643429,0.9711028332768935,0.8844765342960289,0.9326539278131635,0.8941605839416058,0.9732860273400814,0.9111167060316415,0.9337981758685888,0.9674051074647555,0.9743921749059782,0.8704972003056891,0.8971251869729328,0.9279846405480272,0.9370410103719853,1960,163,8603,256,69,724
15,MXF,WHOv1,0.9410141428078648,0.936433380303742,0.7706214689265537,0.9117510180337406,0.914515588333892,0.9428450763708032,0.9318401362468985,0.9490209222274436,0.9320698276784215,0.940534519145981,0.7564827241270679,0.7841735163576854,0.9074181362526622,0.9158999124744748,2728,171,11962,812,84,1433
16,MXF,WHOv2,0.9410353102502571,0.9359400355459393,0.768047006155568,0.9225130890052357,0.9202145491116326,0.941648483142113,0.9318929366683694,0.9490175941753222,0.9315905823285758,0.9400307531580551,0.7539259204463633,0.7815924981454823,0.9184212393950847,0.9264161423377771,2745,172,12112,829,66,1266
17,MXF,MTBC-CRyPTICv1.1.1-2025.8,0.9406691962745775,0.9410060975609756,0.7789203084832905,0.9318789994182665,0.9141803553469662,0.9455198141761104,0.9314722831763331,0.9486997951975207,0.9368439024556666,0.9449101202754079,0.7648728403883538,0.7923563589766709,0.9280152590599661,0.9355497584238238,2727,172,12346,774,84,1087
18,BDQ,WHOv1,0.0,1.0,0.0,1.0,0.0,1.0,1.734723475976807e-18,0.02598363714303676,0.9996534806279737,0.9999999999999999,,,0.99965792403795,0.9999999999999998,0,144,11082,0,0,0
