,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
0,RIF,WHOv1,0.9488120355930648,0.9787099577359086,0.9793677834563694,0.9464677891654466,0.9793114036771197,0.9445146077733747,0.9527932565317153,0.9768578799029872,0.9804167841092615,0.9778684261972683,0.9807675609131796,10343,558,24778,539,27,736
1,RIF,WHOv2,0.9490778970547756,0.9786164020116421,0.977583083204889,0.9465592972181552,0.97927302038153,0.944790133916765,0.9530492079623589,0.9767580793864135,0.9803291335737734,0.9760239700210818,0.979042987324916,10344,555,24713,540,29,800
2,INH,WHOv1,0.9227960751502244,0.9904682421154353,0.9664424111948332,0.8880105401844532,0.9907651715039578,0.9181090215828557,0.9272361249471764,0.9891207413163563,0.9916502508922398,0.964562634907,0.968225759382422,12132,1015,22549,217,515,732
3,INH,WHOv2,0.9300539800805899,0.989617848464767,0.9630785791173304,0.8954033084467867,0.9899991488637331,0.9255683999649507,0.9342884308259582,0.9882117782692726,0.9908577576130032,0.9611129575363607,0.9649484680063826,12233,920,22400,235,509,863
4,EMB,WHOv1,0.9349514563106797,0.9185350122850123,0.904158817562672,0.8714932126696833,0.9267770876466529,0.9278866582546113,0.9413678649578894,0.9151510102221726,0.9217955846841753,0.9010076453328132,0.907220009405531,4815,335,23926,2122,375,2932
5,EMB,WHOv2,0.9153304653891279,0.9262247207417683,0.9421243298072743,0.8472398190045249,0.9302622498274672,0.9073852882242217,0.9226521473197211,0.9230690772178799,0.9292608420970542,0.9396109376819699,0.9445392890478579,4681,433,25373,2021,411,1586
6,PZA,WHOv1,0.8133026012512348,0.9767009407131919,0.9820367555616968,0.774294670846395,0.9769990821229955,0.7990512627095891,0.8267623568988549,0.974412179504034,0.9787894347625913,0.98018287363005,0.9837200883000592,2470,567,17858,426,153,237
7,PZA,WHOv2,0.8150796230094247,0.9747720198765903,0.9852148680392427,0.7862068965517242,0.9750553425840938,0.8009721250192808,0.828401384107094,0.9723992758141803,0.9769456229279615,0.9835214688472153,0.9867365935915343,2508,569,17851,462,113,208
8,LEV,WHOv1,0.865375531412376,0.9719477569562749,0.9275583864118896,0.8357664233576643,0.9742251904414067,0.8501722529544304,0.8792552078140035,0.9682875960546872,0.9751962932685584,0.922735623310335,0.9321022684468154,1832,285,8558,247,75,778
9,LEV,WHOv2,0.8665105386416861,0.9710753176043557,0.9300212314225053,0.843978102189781,0.9733903787957842,0.8514237528359188,0.88028078447135,0.967366462284023,0.9743738216859568,0.9252717669295709,0.9344902084229627,1850,285,8561,255,57,767
10,MXF,WHOv1,0.8921061702861083,0.9412589591773138,0.9154741128563119,0.8675829701642641,0.9469275709157458,0.8802935352717796,0.9028817368560162,0.9370576177879847,0.9451962664465366,0.9112222987356879,0.9195402760042404,2588,313,12082,754,82,1371
11,MXF,WHOv2,0.8924289140116478,0.9407737866317976,0.9261198371146016,0.8732819309420047,0.9458013655240375,0.8806687202221104,0.903157577672395,0.9365845912693388,0.944702584456009,0.9221136327655762,0.929935633542177,2605,314,12231,770,64,1206
12,BDQ,WHOv1,0.0,1.0,1.0,0.0,1.0,1.734723475976807e-18,0.02598363714303676,0.9996534806279737,0.9999999999999999,0.99965792403795,0.9999999999999998,0,144,11082,0,0,0
13,BDQ,WHOv2,0.2868217054263566,0.9888662089441455,0.9715838232674149,0.2569444444444444,0.9891716296697347,0.2158290296532435,0.37014359901054183,0.9867038089737691,0.9906802529462654,0.9683451213138872,0.9744998902408797,37,92,10658,120,15,304
14,LZD,WHOv1,0.2780487804878049,0.9983853983853984,0.9914916975435707,0.2780487804878049,0.9983993318950518,0.2212292968515435,0.3430334672860588,0.9975782463844977,0.9989238229967404,0.9898656030445733,0.9928587625940505,57,148,14222,23,0,124
15,LZD,WHOv2,0.2780487804878049,0.9983853983853984,0.9914916975435707,0.2780487804878049,0.9983993318950518,0.2212292968515435,0.3430334672860588,0.9975782463844977,0.9989238229967404,0.9898656030445733,0.9928587625940505,57,148,14222,23,0,124
16,CFZ,WHOv1,0.0,1.0,1.0,0.0,1.0,0.0,0.008445709480077305,0.9996876060544851,1.0000000000000002,0.9996986580957173,0.9999999999999999,0,451,12293,0,0,0
17,CFZ,WHOv2,0.08173076923076923,0.9910856950634934,0.9657093534212178,0.07538802660753881,0.9913772065403075,0.05907491234011673,0.11204077266748558,0.9892305194215814,0.9926236768224019,0.9624069639684885,0.9687310673871425,34,382,11785,106,35,402
18,DLM,WHOv1,0.08461538461538462,0.9998043052837573,0.9896729776247849,0.07482993197278912,0.9998060323925905,0.0479038816400668,0.1451712615060763,0.9992866904498084,0.9999463318097522,0.987547636241591,0.9914387152830405,11,119,10218,2,17,91
19,DLM,WHOv2,0.15,0.9996086871453728,0.9908204245553643,0.14285714285714285,0.9996120647851808,0.10025055316583265,0.21844378709275647,0.9989941905319216,0.9998478158820857,0.9888038555166553,0.9924765472124862,21,119,10218,4,7,89
20,AMI,WHOv1,0.8295376121463078,0.9849144539154964,0.9242140328961066,0.802939211756847,0.9861134631668078,0.8093104517769466,0.8480221113887522,0.9829261283264816,0.9866743695955582,0.920386307621672,0.9278721480348598,1202,247,16061,246,48,1408
21,AMI,WHOv2,0.8215994531784006,0.9849972555955357,0.9296273162606704,0.802939211756847,0.9861134631668078,0.8011468677379183,0.8403675879255736,0.9830197435601439,0.9867475723385156,0.9259240224127869,0.9331588356226748,1202,261,16151,246,34,1318
22,STM,WHOv1,0.9367217280813215,0.9467864547339323,0.8773991655076495,0.8113581333920317,0.953034461726136,0.9286806826192344,0.9439109248198354,0.9418643170060845,0.9513133948806036,0.8719375356720884,0.8826592131222979,3686,249,8220,462,608,1155
23,STM,WHOv2,0.9363822176801226,0.9473320271983404,0.8755910987482615,0.8067356372441118,0.9535427467723899,0.9282997862117619,0.9436089002178945,0.9424310551995584,0.951837091134566,0.8700961546809176,0.8808854263469947,3665,249,8220,457,629,1160
